epoch,Loss_u,Loss_b,Loss_i,Loss_p,Total_Loss
1,0.9315708875656128,1.7170822620391846,0.7846177220344543,0.05551522597670555,3.488785982131958
1000,0.0008712121634744108,0.0005130239296704531,0.0003002087469212711,0.0019814912229776382,0.003665936179459095
2000,0.00016396012506447732,9.513440454611555e-05,5.962625436950475e-05,0.0006383799482136965,0.0009571007103659213
3000,4.7196583182085305e-05,1.9214243366150185e-05,2.5899629690684378e-05,0.00034491260885261,0.00043722306145355105
4000,2.255641811643727e-05,7.184135029092431e-06,1.4423423635889776e-05,0.00019549319404177368,0.00023965717991814017
5000,1.5101353710633703e-05,5.217474608798511e-06,8.690064532856923e-06,0.00012285947741474956,0.0001518683711765334
6000,1.0831541658262722e-05,4.068303496751469e-06,5.6487988331355155e-06,8.119989070110023e-05,0.00010174853377975523
7000,7.6057131082052365e-06,3.951936832891079e-06,3.529830337356543e-06,5.61932465643622e-05,7.128072320483625e-05
8000,5.1846864153048955e-06,3.964937150158221e-06,2.2122687823866727e-06,4.045782043249346e-05,5.1819712098222226e-05
9000,3.589010248106206e-06,3.9308456507569645e-06,1.4343195289256983e-06,3.0134397093206644e-05,3.908857252099551e-05
10000,2.634401880641235e-06,3.7905429053353146e-06,9.921693617798155e-07,2.329131166334264e-05,3.070842649322003e-05
11000,2.0506593045865884e-06,3.5589082472142763e-06,7.255582090692769e-07,1.859374788182322e-05,2.492887324478943e-05
12000,1.62892069965892e-06,3.270331035309937e-06,5.406841410149354e-07,1.52795655594673e-05,2.0719500753330067e-05
13000,1.3319394156496855e-06,2.964082568723825e-06,4.117962077998527e-07,1.2854790838900954e-05,1.7562608263688162e-05
14000,1.1158300594615866e-06,2.6691648145060753e-06,3.197100113538909e-07,1.1058442396461032e-05,1.516314750915626e-05
15000,9.448131095268764e-07,2.405411805739277e-06,2.6616146442393074e-07,9.78757998382207e-06,1.3403966477198992e-05
16000,8.227455055020982e-07,2.1515418211492943e-06,2.016338527255357e-07,8.696099030203186e-06,1.1872019967995584e-05
17000,7.200636673587724e-07,1.9311880805616966e-06,1.644340841266967e-07,7.903583536972292e-06,1.0719269084802363e-05
18000,6.43518035303714e-07,1.7460480421505054e-06,1.3411346344582853e-07,7.322317287616897e-06,9.845996828516945e-06
19000,5.691909450433741e-07,1.5714392702648183e-06,1.0890826729337277e-07,6.7939554355689324e-06,9.043494173965883e-06
20000,5.141936867403274e-07,1.4274247632783954e-06,9.043327509061783e-08,6.397578090400202e-06,8.429629815509543e-06
