x,z,error
-1.0,0.0,0.0008155600333189173
-0.98,0.0,0.0007823214372098812
-0.96,0.0,0.0007504696474529816
-0.94,0.0,0.0007195928112283737
-0.92,0.0,0.0006896143450385617
-0.9,0.0,0.0006603357167031819
-0.88,0.0,0.0006314750853678426
-0.86,0.0,0.000602891737490471
-0.84,0.0,0.0005745082742749048
-0.8200000000000001,0.0,0.0005461838129902426
-0.8,0.0,0.0005178006497269377
-0.78,0.0,0.0004892907196553363
-0.76,0.0,0.0004607089314288494
-0.74,0.0,0.0004318679081507884
-0.72,0.0,0.0004029906503370874
-0.7,0.0,0.00037398636014949506
-0.6799999999999999,0.0,0.00034489889331677944
-0.6599999999999999,0.0,0.00031579867893312787
-0.64,0.0,0.00028692914034624955
-0.62,0.0,0.0002582929915323904
-0.6,0.0,0.00023010133967687996
-0.5800000000000001,0.0,0.00020251114259926608
-0.56,0.0,0.00017601913660629084
-0.54,0.0,0.0001507642153825854
-0.52,0.0,0.00012789302495678573
-0.5,0.0,0.00010841160735364039
-0.48,0.0,9.437270972869298e-05
-0.45999999999999996,0.0,8.814768390347253e-05
-0.43999999999999995,0.0,9.109168777576084e-05
-0.42000000000000004,0.0,0.0001019545636661073
-0.4,0.0,0.00011832499055389314
-0.38,0.0,0.00013805943769844558
-0.36,0.0,0.000159539115272278
-0.33999999999999997,0.0,0.00018175182480733605
-0.31999999999999995,0.0,0.00020442952041425236
-0.29999999999999993,0.0,0.0002266789748949529
-0.28,0.0,0.00024834748500743515
-0.26,0.0,0.0002691590019185655
-0.24,0.0,0.0002888373398429104
-0.21999999999999997,0.0,0.000307102482927874
-0.19999999999999996,0.0,0.00032371594452310624
-0.17999999999999994,0.0,0.00033861492121003083
-0.16000000000000003,0.0,0.0003514312957595878
-0.14,0.0,0.0003619278668952429
-0.12,0.0,0.00037012929985881797
-0.09999999999999998,0.0,0.0003758029014204684
-0.07999999999999996,0.0,0.0003788905179536248
-0.05999999999999994,0.0,0.0003791770826984943
-0.040000000000000036,0.0,0.00037680116015752
-0.020000000000000018,0.0,0.0003716047451502495
0.0,0.0,0.0003635824986171524
0.020000000000000018,0.0,0.0003528907634739892
0.040000000000000036,0.0,0.0003394836747169757
0.06000000000000005,0.0,0.0003234913678349538
0.08000000000000007,0.0,0.0003050952032873993
0.10000000000000009,0.0,0.0002841773030973049
0.1200000000000001,0.0,0.00026118718336907304
0.14000000000000012,0.0,0.0002360789594653198
0.15999999999999992,0.0,0.0002091690542357922
0.17999999999999994,0.0,0.00018058192775142475
0.19999999999999996,0.0,0.0001505580776407587
0.21999999999999997,0.0,0.00011916660461774442
0.24,0.0,8.673326637488962e-05
0.26,0.0,5.3698210950643794e-05
0.28,0.0,2.033243358716419e-05
0.30000000000000004,0.0,1.6624401160865078e-05
0.32000000000000006,0.0,5.045139486622229e-05
0.3400000000000001,0.0,8.519067704140772e-05
0.3600000000000001,0.0,0.00011988891421898716
0.3800000000000001,0.0,0.0001544604725014098
0.40000000000000013,0.0,0.00018843910294466916
0.41999999999999993,0.0,0.00022194811802699207
0.43999999999999995,0.0,0.00025483941943190455
0.45999999999999996,0.0,0.00028670581478250275
0.48,0.0,0.00031765471548197077
0.5,0.0,0.0003473535585760082
0.52,0.0,0.00037594560146685633
0.54,0.0,0.00040295789983285505
0.56,0.0,0.00042853876217901625
0.5800000000000001,0.0,0.00045234801223899317
0.6000000000000001,0.0,0.00047432189685531174
0.6200000000000001,0.0,0.0004944468989121015
0.6400000000000001,0.0,0.0005125806210255586
0.6600000000000001,0.0,0.000528569375344814
0.6799999999999999,0.0,0.0005421983614093598
0.7,0.0,0.0005537351681210486
0.72,0.0,0.0005625177866060132
0.74,0.0,0.0005691156220964169
0.76,0.0,0.0005733062992272952
0.78,0.0,0.0005751094734752225
0.8,0.0,0.0005746048857096216
0.8200000000000001,0.0,0.0005721577971713515
0.8400000000000001,0.0,0.0005677594806913372
0.8600000000000001,0.0,0.000562001830114031
0.8800000000000001,0.0,0.0005552804223892846
0.9000000000000001,0.0,0.0005482240295200966
0.9199999999999999,0.0,0.0005416504639857584
0.94,0.0,0.0005365322474609732
0.96,0.0,0.000534086034865084
0.98,0.0,0.0005352561350943866
1.0,0.0,0.0005415270279559018
-1.0,0.01,0.0006895538178042116
-0.98,0.01,0.0006632888528863458
-0.96,0.01,0.0006381476727993926
-0.94,0.01,0.0006138011711318868
-0.92,0.01,0.0005900698700938505
-0.9,0.01,0.0005666604305840971
-0.88,0.01,0.0005434234960509362
-0.86,0.01,0.000520115614931199
-0.84,0.01,0.000496687393712552
-0.8200000000000001,0.01,0.00047297052298341685
-0.8,0.01,0.00044892304691856435
-0.78,0.01,0.00042442260420402257
-0.76,0.01,0.0003995532096683293
-0.74,0.01,0.00037442804715840457
-0.72,0.01,0.0003489792379319766
-0.7,0.01,0.0003233507659743428
-0.6799999999999999,0.01,0.0002975776624870655
-0.6599999999999999,0.01,0.0002718438091904977
-0.64,0.01,0.0002463652265429822
-0.62,0.01,0.0002214965030748906
-0.6,0.01,0.00019730119053816336
-0.5800000000000001,0.01,0.00017435999812083106
-0.56,0.01,0.00015296469607710905
-0.54,0.01,0.0001339274535175087
